Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
10	10999	14369.612939357758	314.97726	12.837572	343.67715	297.19104	129.625	332.1067	0.0	332.1067	332.1067	140.0	129.55548	44.187546	170.05397	-69.12814	15.746057	-0.022848083	2.4287043	18.071423	-9.582035	-134.17216	0.22196692	0.017688956	0.25342992	0.19225284	-1.543594	0.93519	0.6985276	5.526531	1.1920929e-07	123.44949	49.736134	175.43764	2.6437893	133.19809	54.87212	190.13928	2.6437893	112.17743	46.390076	162.24539	-0.054762494	-21.020668	9.772262	-0.14181244	-40.638073	21.020668	9.772262	40.638073	0.14181244	-0.15961987	0.049301647	-0.006621533	-0.39550966	537.36566	358.53076	1651.4531	0.020110767	3.49319	1.953822	10.71261	0.0020110768
11	11999	16767.317925691605	318.24335	16.23285	335.17838	283.60352	125.57143	341.1623	0.0	341.1623	341.1623	128.0	127.659744	42.215084	165.0738	-63.71966	12.304948	0.04145738	2.4896796	18.155008	-12.64443	-131.64465	0.16749527	0.01320071	0.19219375	0.14644766	-1.709272	0.93270826	0.707562	5.6072416	1.6093254e-06	126.29975	50.712715	179.34267	2.6331036	133.93481	55.110615	193.05774	2.6331036	114.047646	50.349716	163.77713	-2.3704622	-19.887169	9.275221	3.2199907	-39.36994	19.921537	9.20117	39.36994	0.19002667	-0.16446057	0.09971272	0.18876584	-0.70255905	481.5292	340.75345	1549.9924	0.036110137	3.6001408	2.6958804	15.985686	0.0008634542
12	12999	19197.830691337585	337.2829	21.321953	364.3841	288.68988	129.375	357.57532	0.0	357.57532	357.57532	132.0	129.79811	42.9764	169.25526	-67.30706	11.667632	0.2546571	2.6093035	20.208704	-10.1987505	-133.61284	0.12956113	0.009079731	0.14641124	0.11543292	-1.5181415	0.9654856	0.7327048	5.923654	6.556511e-07	137.47585	53.957806	187.7542	2.8142247	138.01022	57.20876	194.95692	2.8142247	116.99744	49.828518	164.69005	-3.8075585	-21.012785	9.344684	10.199337	-37.948635	21.219584	8.865078	37.948635	0.087092124	-0.16228352	0.084371984	0.16069445	-0.76199967	528.8602	326.23334	1440.0989	0.007585038	3.532579	1.8055595	9.241508	8.8892586e-05
13	13999	21621.41130399704	362.12183	14.6455555	390.09756	343.98462	132.25	383.4229	0.0	383.4229	383.4229	132.0	132.8988	44.15957	175.70525	-69.20527	11.163039	0.5361613	2.745618	20.91032	-11.178803	-136.5418	0.10508673	0.0058186008	0.11540983	0.09569394	-1.0430298	1.0040945	0.7616779	5.976469	1.7881393e-07	151.58676	57.985092	203.35895	3.3665562	148.14589	57.299786	203.97404	3.3665562	125.22534	48.146214	173.94905	-1.8186209	-22.920547	11.50816	9.891356	-42.579258	23.253153	10.8203535	42.579258	0.16877098	-0.15707624	0.078923166	0.2508702	-0.5447588	657.78925	431.93417	1812.9934	0.028483646	3.9293048	2.242457	10.917628	0.00045001783
14	14999	24020.04220223427	371.208	11.6260805	388.4086	354.43997	131.14285	389.3863	0.0	389.3863	389.3863	133.0	137.12767	45.88016	184.4669	-71.71359	11.133054	0.7874462	2.891794	21.890244	-11.806343	-140.66624	0.088946216	0.0032735309	0.09567961	0.08520281	-0.5099581	1.0381781	0.792963	6.3744793	2.540648e-06	151.47186	58.300526	203.46951	3.1165514	147.25665	57.05534	203.70119	3.1165514	132.11957	50.620087	183.39922	-0.5566943	-15.137076	8.277173	9.359646	-31.38648	15.47101	7.634824	31.38648	0.006202378	-0.1019227	0.065741204	0.34470683	-0.49390423	297.6427	234.03526	985.11115	3.846949e-05	1.783005	1.1389288	6.0127597	7.0115965e-07
15	15999	26467.210693836212	376.88452	17.298199	400.83093	346.4387	130.25	351.07913	0.0	351.07913	351.07913	123.0	142.89218	48.50275	189.11613	-71.91924	11.079058	1.0732375	2.9018178	22.8421	-13.501308	-146.30536	0.087753445	0.0015074657	0.090928614	0.085637696	0.17799392	1.0747014	0.8155748	6.819613	1.3709068e-06	150.74428	56.138367	202.2726	3.2180164	147.83575	56.39959	205.99475	3.2180164	136.53194	53.116158	185.7516	-0.94966257	-11.3038	8.582967	15.264878	-31.05389	12.191692	7.266762	31.05389	0.007910824	-0.07355888	0.13829677	1.5264878	-0.5981909	201.44322	182.84908	964.3441	6.2581144e-05	1.4637811	1.6789329	23.30165	3.4378337e-07
16	16999	28870.61838412285	390.07892	32.204067	447.1158	346.2762	134.85715	397.4609	0.0	397.4609	397.4609	135.0	145.14165	49.719604	199.64218	-75.2296	10.433556	0.985333	2.8830519	23.66603	-12.214248	-148.52094	0.091667175	0.0010294756	0.093088746	0.08928946	-0.035276953	1.0590749	0.81604564	7.384659	2.9802322e-07	161.5904	61.194954	224.55464	3.6978893	148.86432	57.680794	213.19853	3.6978893	155.30379	30.742151	193.67023	47.17075	6.4394526	33.87788	87.53732	-34.31441	25.604742	23.099232	87.53732	0.021711033	0.34807116	0.9658148	5.863982	-0.18491092	1189.1772	1837.06	7662.783	0.00047136899	25.180485	55.05911	366.87433	3.930492e-06
17	17999	31262.13045501709	402.86572	126.146225	569.4614	122.5541	143.14285	428.88696	0.0	428.88696	428.88696	142.0	151.93771	52.202	220.56387	-74.50163	12.034041	1.3138162	3.0476344	25.146557	-14.040409	-155.53386	0.100777484	0.010568735	0.11936138	0.08893005	0.7098887	1.1093397	0.8773541	7.932727	1.3411045e-06	161.76393	59.056194	237.07932	3.9363678	152.80377	56.70752	221.70195	3.9363678	168.9193	52.07668	223.42056	-7.016402	16.115534	23.80299	86.49462	-30.016115	21.375706	19.21905	86.49462	0.009359176	0.1791761	0.42676038	3.0695906	-1.6385452	826.2928	1323.5402	7481.3193	8.759418e-05	10.038454	23.045547	167.45883	1.2667471e-06
18	18999	33689.72029662132	471.81445	154.63675	645.63086	190.4911	168.83333	543.312	0.0	543.312	543.312	176.0	159.03712	56.092655	219.34871	-78.48752	12.566741	0.9146688	2.836082	24.084724	-11.781624	-162.58412	0.11617798	0.002575498	0.11955188	0.110363044	-0.18453091	1.0468525	0.82406133	7.4216433	3.7252903e-06	191.56392	66.75429	256.61493	3.598955	183.37483	65.03046	246.01892	3.598955	150.05377	54.26815	207.33127	2.399979	-33.321045	15.077024	8.382228	-67.56971	33.41795	14.860993	67.56971	0.04008737	-0.17437136	0.08170239	0.8382228	-0.45482266	1337.6085	974.11334	4565.6655	0.001606997	6.583104	4.351025	21.26392	4.305868e-05
19	19999	36114.739530563354	554.7321	73.91908	645.30853	429.80988	182.16667	589.90686	0.0	589.90686	589.90686	207.0	158.23735	54.787647	222.1933	-80.62938	11.600995	0.9680867	2.8638391	24.111166	-11.635631	-161.6106	0.108018965	0.0007874364	0.1103492	0.10643061	-0.070848756	1.0415169	0.8342187	8.050503	1.899898e-06	199.04832	67.69419	267.69217	3.6442761	187.1009	65.24387	248.04436	3.6442761	162.229	53.356613	209.84274	0.027900338	-24.871891	15.344876	11.317217	-57.24218	25.219616	14.7664175	57.24218	0.07958391	-0.11899792	0.0927121	0.5633039	-0.5852828	854.0762	733.58624	3276.6672	0.0063335993	3.898522	2.9267137	13.232257	3.694748e-05
